Report Number,Sample Id,Project Name,Brand NickName,Lab Name,Lab Number,Matrix Type,Sampled DateTime,Received Date,Prep date/time,DateTime Test Started,CAS Number,Analyte Description,Result,Unit of Measure,Qualifier,Dilution Factor,Quantitation Limit,Method,QC Batch No
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,121-14-2,24-Dinitrotoluene,<0.024,mg/Kg - dry,,1,0.024,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,606-20-2,26-Dinitrotoluene,<0.019,mg/Kg - dry,,1,0.019,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,117-84-0,Di-n-Octyl Phthalate,<0.026,mg/Kg - dry,,1,0.026,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,100-41-4,Ethylbenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,637-92-3,Ethyl Tertiary Butyl Ether (ETBE),<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,206-44-0,Fluoranthene,1.49,mg/Kg - dry,,1,0.029,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,86-73-7,Fluorene,0.083,mg/Kg - dry,,1,0.018,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,118-74-1,Hexachlorobenzene,<0.018,mg/Kg - dry,,1,0.018,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,87-68-3,Hexachlorobutadiene,<0.003,mg/Kg - dry,,1,0.003,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,87-68-3,Hexachlorobutadiene,<0.016,mg/Kg - dry,,1,0.016,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,77-47-4,Hexachlorocyclopentadiene,<0.028,mg/Kg - dry,,1,0.028,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,67-72-1,Hexachloroethane,<0.017,mg/Kg - dry,,1,0.017,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,110-54-3,n-Hexane,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,591-78-6,2-Hexanone,<0.001,mg/Kg - dry,,1,0.001,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,193-39-5,Indeno(123-cd)pyrene,0.329,mg/Kg - dry,,1,0.031,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/24/2026 07:15 pm,78-59-1,Isophorone,<0.014,mg/Kg - dry,,1,0.014,SW-8270E,W6783
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,98-82-8,Isopropylbenzene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,99-87-6,4-Isopropyl toluene,<0.002,mg/Kg - dry,,1,0.002,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,78-93-3,Methyl Ethyl Ketone (MEK),<0.003,mg/Kg - dry,,1,0.003,SW-8260D,V66708
26-049-0003,DUP-1,900 S McDowell,CNC,Waypoint Analytical LLC (Charlotte), 90166,Solids,02/16/2026 12:00 am,02/17/2026 05:02 pm,,02/23/2026 06:12 pm,1634-04-4,Methyl tert-butyl ether (MTBE),<0.0008,mg/Kg - dry,,1,0.0008,SW-8260D,V66708
